"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","281","Тест создания заказа с ингредиентом с неправильным ID","tests","Fri Jun 20 04:29:42 EEST 2025","passed","Fri Jun 20 04:29:42 EEST 2025","TestOrders","test_order","",""
"","276","Тест создание пользователя без email, пароля, имени","tests","Fri Jun 20 04:30:01 EEST 2025","passed","Fri Jun 20 04:30:01 EEST 2025","TestUser","test_users","",""
"","3016","Тест создания заказа для авторизованного пользователя","tests","Fri Jun 20 04:29:33 EEST 2025","passed","Fri Jun 20 04:29:36 EEST 2025","TestOrders","test_order","",""
"","341","Тест логин пользователя с неправильным паролем и email","tests","Fri Jun 20 04:29:31 EEST 2025","passed","Fri Jun 20 04:29:31 EEST 2025","TestLogin","test_login","",""
"","359","Тест логин пользователя","tests","Fri Jun 20 04:29:25 EEST 2025","passed","Fri Jun 20 04:29:26 EEST 2025","TestLogin","test_login","",""
"","274","Тест создание пользователя без email, пароля, имени","tests","Fri Jun 20 04:30:01 EEST 2025","passed","Fri Jun 20 04:30:02 EEST 2025","TestUser","test_users","",""
"","277","Тест логин пользователя с неправильным паролем и email","tests","Fri Jun 20 04:29:30 EEST 2025","passed","Fri Jun 20 04:29:30 EEST 2025","TestLogin","test_login","",""
"","273","Тест изменение неавторизованного пользователя","tests","Fri Jun 20 04:30:07 EEST 2025","passed","Fri Jun 20 04:30:07 EEST 2025","TestUser","test_users","",""
"","0","Тест создание пользователя","tests","Fri Jun 20 04:29:58 EEST 2025","passed","Fri Jun 20 04:29:58 EEST 2025","TestUser","test_users","",""
"","278","Тест создания заказа для неавторизованного пользователя","tests","Fri Jun 20 04:29:41 EEST 2025","passed","Fri Jun 20 04:29:42 EEST 2025","TestOrders","test_order","",""
"","3194","Тест создания заказа для авторизованного пользователя","tests","Fri Jun 20 04:29:37 EEST 2025","passed","Fri Jun 20 04:29:41 EEST 2025","TestOrders","test_order","",""
"","265","Тест изменение неавторизованного пользователя","tests","Fri Jun 20 04:30:06 EEST 2025","passed","Fri Jun 20 04:30:06 EEST 2025","TestUser","test_users","",""
"","265","Тест создание пользователя без email, пароля, имени","tests","Fri Jun 20 04:30:01 EEST 2025","passed","Fri Jun 20 04:30:01 EEST 2025","TestUser","test_users","",""
"","6399","Тест получения заказов для авторизованного пользователя","tests","Fri Jun 20 04:29:43 EEST 2025","passed","Fri Jun 20 04:29:50 EEST 2025","TestOrders","test_order","",""
"","364","Тест логин пользователя без email и пароля","tests","Fri Jun 20 04:29:27 EEST 2025","passed","Fri Jun 20 04:29:27 EEST 2025","TestLogin","test_login","",""
"","275","Тест логин пользователя без email и пароля","tests","Fri Jun 20 04:29:28 EEST 2025","passed","Fri Jun 20 04:29:29 EEST 2025","TestLogin","test_login","",""
"","6012","Тест получения заказов для неавторизованного пользователя","tests","Fri Jun 20 04:29:51 EEST 2025","passed","Fri Jun 20 04:29:57 EEST 2025","TestOrders","test_order","",""
"","626","Тест изменение авторизованного пользователя","tests","Fri Jun 20 04:30:04 EEST 2025","passed","Fri Jun 20 04:30:04 EEST 2025","TestUser","test_users","",""
"","1728","Тест создание пользователя уже зарегистрированного","tests","Fri Jun 20 04:29:59 EEST 2025","passed","Fri Jun 20 04:30:01 EEST 2025","TestUser","test_users","",""
"","273","Тест создания заказа без ингредиентов","tests","Fri Jun 20 04:29:43 EEST 2025","passed","Fri Jun 20 04:29:43 EEST 2025","TestOrders","test_order","",""
"","643","Тест изменение авторизованного пользователя","tests","Fri Jun 20 04:30:02 EEST 2025","passed","Fri Jun 20 04:30:03 EEST 2025","TestUser","test_users","",""
